run_id,ckpt,prec,sdpa,avg_ms,samp_s,tok_s,eval_loss,ppl,cuda_peak,dmem_pct,speedup_vs_base
hf-c1-p0,Y,N,math,893.3484483049688,2.2387680907654586,2292.4985249438296,4.210808326187448,67.4110078761573,4215976448, 34.64%,  4.848x
hf-c1-p1,Y,Y,math,894.833525460017,2.235052602630012,2288.6938650931324,4.223888165666243,68.29852467374701,4215976448, 34.64%,  4.840x
hf-c1-p0,Y,N,math,2599.2686114450044,0.7694472172647618,787.9139504791161,4.106743541764624,60.74856993412822,4215976448, 34.64%,  1.666x
hf-c0-p0,N,N,math,3218.5287387599965,0.6214019393129734,636.3155858564847,3.5915418201022677,36.28998544325973,6450360832,  0.00%,  1.346x
hf-c0-p1,N,Y,math,4217.348798200001,0.4742315837982423,485.61314180940013,3.5915418201022677,36.28998544325973,6461026816, -0.17%,  1.027x
hf-c0-p0,N,N,math,4331.1673641249945,0.46176927185173566,472.8517343761773,3.5915418201022677,36.28998544325973,6450377216,  0.00%,  1.000x
hf-c1-p1,Y,Y,math,5321.527220260014,0.3758319589883219,384.8519260040416,4.219526704937342,68.00129199603779,4215976448, 34.64%,  0.814x
hf-c0-p1,N,Y,math,6187.937791910008,0.3232094547903765,330.96648170534553,3.5915418201022677,36.28998544325973,6453768704, -0.05%,  0.700x
