run_id,ckpt,prec,sdpa,avg_ms,samp_s,tok_s,eval_loss,ppl,cuda_peak,dmem_pct,speedup_vs_base
hf-c0-p1,N,Y,math,476.61019288992975,4.196301358711999,2148.5062956605434,3.7821714878082275,43.91129111501274,3522153984, -1.64%,  2.022x
hf-c1-p0,Y,N,math,569.5949807600118,3.5112668958764273,1797.7686506887308,3.3546218872070312,28.634774968762486,3278901248,  5.38%,  1.692x
hf-c1-p1,Y,Y,math,836.517372035014,2.390864872458723,1224.1228146988663,3.7821714878082275,43.91129111501274,3282178048,  5.29%,  1.152x
hf-c0-p0,N,N,math,963.4944663800707,2.075777360210658,1062.798008427857,3.3388383388519287,28.186364675155524,3465332736,  0.00%,  1.000x
